word,best_response,shown,meaning,,,
SO,For that reason; therefore,FALSE,I am focused so I can achieve my targets.,,,
NEBULOUS,In the form of a cloud or haze; hazy; vague,FALSE,I do not have nebulous ideas; my goals are clear.,,,
EVALUATE,To form an idea of the amount number or value of; assess,FALSE,I evaluate my strengths and weaknesses objectively.,,,
SLANDER,The action or crime of making a false spoken statement damaging to a person's reputation,FALSE,I will sue him for slander.,,,
AUTHORITY,The power or right to give orders and make decisions,FALSE,I respect authority and follow the chain of command.,,,
EXPLAIN,To make an idea situation or problem clear to someone,FALSE,I can explain complex ideas in a simple and clear manner.,,,
EQUILIBRIUM,A state in which opposing forces or influences are balanced,FALSE,I maintain my equilibrium in stressful situations.,,,
POIGNANT,Evoking a keen sense of sadness or regret,FALSE,The movie had a poignant ending.,,,
COLLABORATE,To work jointly on an activity or project,FALSE,I collaborate with others to achieve the best results.,,,
LADY,A woman of good social position,FALSE,Lady officers have proven their mettle in the armed forces.,,,
MADE,Past tense of make,FALSE,I have made up my mind to become an officer.,,,
GATHER,To come together; assemble or accumulate,FALSE,I gather all relevant information before making a decision.,,,
ENTANGLE,To cause to become twisted together with or caught in,FALSE,I do not get entangled in petty politics.,,,
TALL,Of great or more than average height,FALSE,I stand tall in the face of adversity.,,,
PARITY,The state or condition of being equal especially regarding status or pay,FALSE,There should be a parity in the treatment of all individuals.,,,
COMPLAIN,To express dissatisfaction or annoyance about something,FALSE,I focus on solutions rather than complaining about problems.,,,
INGENIOUS,Clever original and inventive,FALSE,An ingenious plan can surprise the enemy.,,,
FAT,A natural oily substance occurring in animal bodies,FALSE,I maintain my body fat percentage through regular exercise.,,,
VORTEX,A mass of whirling fluid or air,FALSE,The ship was caught in a vortex and sank.,,,
RATIFY,To sign or give formal consent to a treaty contract or agreement,FALSE,The treaty was ratified by the parliament.,,,
THOROUGH,Complete with regard to every detail,FALSE,I am thorough in my planning and preparation.,,,
CURIOSITY,A strong desire to know or learn something,FALSE,My curiosity drives me to learn and explore.,,,
CONSISTENCY,Consistent behavior or treatment,FALSE,Consistency in performance is the hallmark of a professional.,,,
PERVADE,To be present and apparent throughout,FALSE,A sense of discipline pervades the entire military cantonment.,,,
EXCLUDE,To deny someone access to or bar from a place group or privilege,FALSE,I never exclude anyone from my team.,,,
INNOVATE,To make changes in something established especially by introducing new methods,FALSE,I have the ability to innovate and find new solutions.,,,
SOLID,Firm and stable in shape; not liquid or fluid,FALSE,I have a solid foundation of knowledge and skills.,,,
SERENDIPITY,The occurrence of events by chance in a happy way,FALSE,Finding a ten-rupee note on the road was a serendipity.,,,
QUOTIDIAN,Of or occurring every day; daily,FALSE,I want to lead an adventurous life not a quotidian one.,,,
GREEN,The color of growing grass; relating to nature,FALSE,I help in keeping my surroundings green and clean.,,,
ODIUM,General or widespread hatred or disgust directed toward someone,FALSE,A corrupt official has to face the odium of the public.,,,
SURMOUNT,To overcome a difficulty or obstacle,FALSE,I can surmount any obstacle with my willpower.,,,
ENTHUSE,To make someone interested and excited,FALSE,I can enthuse my team with my passion and energy.,,,
CONFIDENCE,The feeling of self-assurance arising from one's appreciation of one's own abilities,FALSE,My confidence comes from my knowledge and preparation.,,,
ENDORSE,To declare one's public approval or support of,FALSE,I endorse a culture of merit and transparency.,,,
REPOSE,A state of rest sleep or tranquility,FALSE,I find repose in the lap of nature.,,,
WAGGISH,Humorous in a playful mischievous or facetious manner,FALSE,He made a waggish and humorous remark.,,,
ROCK,The solid mineral material forming part of the surface of the earth,FALSE,I am a rock of support for my team in difficult times.,,,
MAGNANIMOUS,Very generous or forgiving especially toward a rival or someone less powerful,FALSE,A great leader is always magnanimous in victory.,,,
INTERSPERSE,To scatter among or between other things,FALSE,My life is interspersed with work and play.,,,
WASTE,To use or expend carelessly extravagantly or to no purpose,FALSE,I do not waste time in unproductive activities.,,,
SUPPLANT,To supersede and replace,FALSE,He tried to supplant his boss to get the promotion.,,,
ONE,The lowest cardinal number,FALSE,One team one dream is my motto.,,,
TRANSPIRE,To occur; happen,FALSE,No one knows what transpired in the closed-door meeting.,,,
SECURE,Fixed or fastened so as to not give way; safe,FALSE,I feel secure in my abilities and my decisions.,,,
SEETHE,To be filled with intense but unexpressed anger,FALSE,I was seething with anger but I controlled myself.,,,
TACIT,Understood or implied without being stated,FALSE,There was a tacit understanding between us.,,,
SHOW,To allow or cause to be visible,FALSE,I show courage and initiative in adverse situations.,,,
STIPEND,A fixed regular sum paid as a salary or allowance,FALSE,I received a small stipend during my internship.,,,
BRAVE,Ready to face and endure danger or pain; courageous,FALSE,A brave soldier is a tremendous asset to the entire nation.,,,
DISDAIN,The feeling that someone or something is unworthy of one's consideration or respect,FALSE,I have disdain for people who are dishonest and lazy.,,,
UNDERSCORE,To emphasize the importance of something,FALSE,I want to underscore the importance of teamwork.,,,
LEVITY,The treatment of a serious matter with humor or in a manner lacking due respect,FALSE,I use levity to diffuse a tense situation.,,,
FABRICATE,To invent or concoct something typically with deceitful intent,FALSE,I will never fabricate a story to cover my mistakes.,,,
CONCERN,To relate to; be about; to worry someone,FALSE,The well-being of my men is my primary concern.,,,
SCRUTINIZE,To examine or inspect closely and thoroughly,FALSE,The committee will scrutinize all the applications.,,,
FULFILL,To bring to completion or reality; achieve or realize something desired,FALSE,I will fulfill my duties with honor and integrity.,,,
ENUNCIATE,To say or pronounce clearly,FALSE,I can enunciate my words clearly and confidently.,,,
JOY,A feeling of great pleasure and happiness,FALSE,I find joy in serving my nation and protecting its people.,,,
INSPIRE,To fill someone with the urge or ability to do something creative,FALSE,I want to inspire others through my actions and deeds.,,,
RUSH,To move with urgent haste,FALSE,I never rush into a decision without thinking.,,,
USURP,To take a position of power illegally or by force,FALSE,The general tried to usurp the power of the king.,,,
FORMULATE,To create or devise methodically,FALSE,I can formulate a winning strategy for my team.,,,
INITIATION,The action of beginning something,FALSE,The initiation into the armed forces is tough.,,,
SONG,A short poem or other set of words set to music or meant to be sung,FALSE,A patriotic song fills me with immense pride.,,,
KICK,To strike or propel forcibly with the foot,FALSE,I kick-start my day with a session of physical training.,,,
INFLAME,To provoke or intensify strong feelings especially anger,FALSE,I do not let passions inflame and cloud my judgement.,,,
IRONY,The expression of one's meaning by using language that normally signifies the opposite,FALSE,The irony of life is that we value things only when we lose them.,,,
SENSE,A faculty by which the body perceives an external stimulus,FALSE,My sense of duty is my guiding principle.,,,
PROVE,To demonstrate the truth or existence of something by evidence,FALSE,I will prove my worth through my actions.,,,
VULNERABLE,Susceptible to physical or emotional attack or harm,FALSE,The city was vulnerable to an enemy attack.,,,
SERIOUS,Demanding or characterized by careful consideration or application,FALSE,I am serious about my career goals and aspirations.,,,
PROVIDENT,Making or indicative of timely preparation for the future,FALSE,A provident person saves for his future.,,,
JUDGEMENT,The ability to make considered decisions or come to sensible conclusions,FALSE,I have a good sense of judgement which helps me in decision making.,,,
ESTEEM,Respect and admiration,FALSE,I hold my seniors and the traditions of the army in high esteem.,,,
FREE,Able to act or be done as one wishes; not under control of another,FALSE,I use my free time for hobbies and self-development.,,,
EXHAUSTED,Very tired; drained of one's physical or mental resources,FALSE,My strong willpower pushes me even when I am exhausted.,,,
VICARIOUS,Experienced in the imagination through the feelings or actions of another person,FALSE,I get a vicarious pleasure by reading adventure stories.,,,
REVIEW,A formal assessment of something with the intention of instituting change if necessary,FALSE,I review my performance to identify areas of improvement.,,,
FINISH,To bring a task or activity to an end,FALSE,I finish what I start with utmost sincerity.,,,
SHARP,Having a cutting edge or point; mentally quick,FALSE,I have a sharp mind and keen observation skills.,,,
PESSIMISM,A tendency to see the worst aspect of things or believe that the worst will happen,FALSE,Pessimism has no place in a soldier's dictionary.,,,
INIMICAL,Tending to obstruct or harm; unfriendly,FALSE,I am not inimical to anyone.,,,
ENIGMA,A person or thing that is mysterious puzzling or difficult to understand,FALSE,The complexity of human nature is an enigma.,,,
COURAGE,The ability to do something that frightens one; bravery,FALSE,I display courage when faced with daunting situations.,,,
EMERGE,To move out of or away from something and come into view,FALSE,I will emerge as a successful officer after my training.,,,
DEDUCE,To arrive at a fact or conclusion by reasoning,FALSE,I can deduce logical conclusions from given information.,,,
LATE,Doing something or taking place after the expected or usual time,FALSE,I am never late for any of my commitments.,,,
ENDURANCE,The fact or power of enduring an unpleasant or difficult process,FALSE,I have high mental and physical endurance.,,,
CREED,A system of religious belief; a faith,FALSE,I respect people of all creeds and religions.,,,
NURTURE,To care for and encourage the growth or development of,FALSE,I will nurture the young talent in my team.,,,
PROSELYTIZE,To attempt to convert someone from one religion or belief to another,FALSE,I do not try to proselytize anyone to my point of view.,,,
GRIEF,Deep sorrow especially that caused by someone's death,FALSE,I cope with grief by staying strong for my family and friends.,,,
ELOQUENT,Fluent or persuasive in speaking or writing,FALSE,An officer should be eloquent in his speech.,,,
BATTALION,A large body of troops ready for battle typically commanded by a lieutenant colonel,FALSE,A battalion's strength is the spirit of its men.,,,
EXPEDITE,To make an action or process happen sooner or be accomplished more quickly,FALSE,I take measures to expedite the completion of a project.,,,
CAUSE,A person or thing that gives rise to an action or condition,FALSE,I am committed to the cause of serving my nation.,,,
PROHIBITIVE,Forbidding or restricting something; very high in price,FALSE,The cost of the new weapon system was prohibitive.,,,
FLAWLESS,Without any blemishes or imperfections; perfect,FALSE,I aim for a flawless execution of my plans.,,,
MAXIM,A short pithy statement expressing a general truth,FALSE,My favorite maxim is Fortune favors the brave.,,,
BURDEN,A load typically a heavy one,FALSE,I consider responsibility as a privilege not a burden.,,,
SUBVERSIVE,Seeking or intended to subvert an established system,FALSE,The government banned the subversive organization.,,,
TITULAR,Holding or constituting a purely formal position or title without any real authority,FALSE,The king was only a titular head of the state.,,,
LARCENY,Theft of personal property,FALSE,I will never commit an act of larceny.,,,
ERECT,To construct a building wall or other upright structure,FALSE,We must erect a strong defence against our enemies.,,,
YOUNG,Having lived or existed for only a short time,FALSE,Young leaders bring fresh energy and ideas to the team.,,,
RECLUSE,A person who lives a solitary life and tends to avoid other people,FALSE,I am not a recluse; I enjoy socializing with people.,,,
EXERT,To apply or bring to bear a force influence or quality,FALSE,I can exert my influence to get the work done.,,,
EQUIP,To supply with the necessary items for a particular purpose,FALSE,I am equipped with the necessary skills to be a leader.,,,
REMUNERATION,Money paid for work or a service,FALSE,I am not worried about the remuneration; I want to serve.,,,
WAR,A state of armed conflict between nations,FALSE,I am trained to win wars for my country's lasting security.,,,
VIVACIOUS,Attractively lively and animated,FALSE,She is a vivacious and lively person.,,,
REACT,To respond or behave in a particular way in response to something,FALSE,I do not react impulsively; I respond thoughtfully.,,,
ACT,To take action; do something,FALSE,I act swiftly and decisively based on the available information.,,,
UNDULATE,To move with a smooth wavelike motion,FALSE,The green fields were undulating in the wind.,,,
VILIFY,To speak or write about in an abusively disparaging manner,FALSE,I will not vilify my opponent to win an election.,,,
NATION,A large body of people united by common descent history or culture,FALSE,I will work for the progress and security of my nation.,,,
PAGE,One side of a sheet of paper in a book magazine or newspaper,FALSE,I am ready to start a new page in my life.,,,
REMORSE,Deep regret or guilt for a wrong committed,FALSE,I take corrective action instead of feeling remorse.,,,
EMULATE,To match or surpass a person or achievement typically by imitation,FALSE,I emulate the great leaders of our country.,,,
FLANK,The side of a person's or animal's body between the ribs and the hip,FALSE,We can attack the enemy from the flank.,,,
SMILE,To form one's features into a pleased amused or kind expression,FALSE,A smile helps to maintain team morale during tough times.,,,
FEASIBLE,Possible to do easily or conveniently,FALSE,I prepare a feasible and practical plan of action.,,,
RETORT,To say something in answer to a remark typically in a sharp or witty way,FALSE,I gave a witty retort to his sarcastic remark.,,,
RECONNAISSANCE,Military observation of a region to locate an enemy or ascertain strategic features,FALSE,A reconnaissance patrol was sent to gather intelligence.,,,
TAWDRY,Showy but cheap and of poor quality,FALSE,I do not like tawdry and cheap jewelry.,,,
INCIDENT,An event or occurrence,FALSE,An incident can be a good learning experience.,,,
GET,To come to have or hold something; receive,FALSE,I get my motivation from my desire to serve the nation.,,,
ORGANIZE,To arrange into a structured whole; order,FALSE,I can organize people and resources effectively for any task.,,,
FANATIC,A person filled with excessive and single-minded zeal,FALSE,I am a fanatic when it comes to my fitness.,,,
CONTRAST,The state of being strikingly different from something else,FALSE,There is a stark contrast between a soldier and a civilian.,,,
MOVE,To go in a specified direction or manner,FALSE,I can move quickly and silently in the field.,,,
UNEQUIVOCAL,Leaving no doubt; unambiguous,FALSE,My support for my country is unequivocal.,,,
FATHOM,To understand a difficult problem after much thought,FALSE,I can fathom the depth of a problem and find a solution.,,,
DISCERNMENT,The ability to judge well,FALSE,Discernment is a key quality of a good leader.,,,
FEW,A small number of,FALSE,A few good men can make a significant difference.,,,
KINDLE,To light or set on fire; arouse or inspire,FALSE,I can kindle a hope in my team during a crisis.,,,
WISE,Having or showing experience knowledge and good judgment,FALSE,I take wise decisions by learning from past experiences.,,,
MODULATE,To vary the strength tone or pitch of one's voice,FALSE,I can modulate my voice to suit the occasion.,,,
SCARED,Fearful; frightened,FALSE,I overcome being scared by analyzing the situation rationally.,,,
PALTRY,Very small or meager,FALSE,I am not interested in a paltry sum of money.,,,
LUMINOUS,Emitting or reflecting light; shining,FALSE,A great leader has a luminous personality.,,,
SAFE,Protected from or not exposed to danger or risk,FALSE,I ensure the safety of my team during all our operations.,,,
IRE,Anger,FALSE,I can control my ire and act rationally.,,,
VESTIGE,A trace of something that is disappearing or no longer exists,FALSE,The ruins were the only vestige of the ancient city.,,,
PARAGON,A person or thing regarded as a perfect example of a particular quality,FALSE,An officer should be a paragon of virtue.,,,
SCOFF,To speak to someone or about something in a scornful or mocking way,FALSE,I do not scoff at others' beliefs.,,,
STEADY,Firmly fixed supported or balanced; not shaking or moving,FALSE,I maintain a steady nerve in stressful situations.,,,
AMMUNITION,A supply or quantity of bullets and shells,FALSE,Ammunition must be used judiciously and effectively.,,,
PILFER,To steal things of little value,FALSE,I will never pilfer from the government's property.,,,
SOON,In or after a short time,FALSE,I will soon realize my dream of becoming an officer.,,,
COMMAND,To give an authoritative order,FALSE,I am confident in my ability to command and lead my men.,,,
LIBERATE,To set someone free from a situation of imprisonment or oppression,FALSE,Education can liberate the human mind.,,,
ABLE,Having the power skill means or opportunity to do something,FALSE,I am able to adapt to new and changing environments.,,,
EXPLORE,To travel in or through an unfamiliar area in order to learn about it,FALSE,I like to explore new places and learn new things.,,,
DISTINCT,Recognizably different in nature from something else of a similar type,FALSE,A leader must have a distinct and confident personality.,,,
FALLACY,A mistaken belief especially one based on unsound argument,FALSE,It is a fallacy that success comes without hard work.,,,
PARAMOUNT,More important than anything else; supreme,FALSE,The security of the nation is of paramount importance.,,,
UPSET,To make someone unhappy worried or disappointed,FALSE,I do not get upset over small things.,,,
VERACIOUS,Speaking or representing the truth,FALSE,He is a veracious and truthful person.,,,
PARODY,An imitation of the style of a particular writer or artist with deliberate exaggeration,FALSE,His actions were a parody of true leadership.,,,
ECCENTRIC,Unconventional and slightly strange,FALSE,An eccentric genius can sometimes produce brilliant ideas.,,,
RENEGE,To go back on a promise or undertaking,FALSE,I will never renege on my promise.,,,
DETRIMENTAL,Tending to cause harm,FALSE,Ego can be detrimental to team unity.,,,
CONTRACT,A written or spoken agreement,FALSE,A social contract exists between a soldier and his nation.,,,
TOPOGRAPHY,The arrangement of the natural and artificial physical features of an area,FALSE,A soldier must have a good knowledge of the topography of the area.,,,
PRESENT,Existing or occurring at this time,FALSE,I can present my ideas confidently in front of a group.,,,
PREPONDERANCE,The quality or fact of being greater in number quantity or importance,FALSE,The preponderance of evidence was against him.,,,
CONSERVE,To protect something from harm or destruction,FALSE,I conserve my energy and resources for critical moments.,,,
SALACIOUS,Having or conveying undue interest in sexual matters,FALSE,I do not read salacious and gossip magazines.,,,
FAST,Moving or capable of moving at high speed,FALSE,I can think fast and act faster in dynamic situations.,,,
VOLUBLE,Speaking or spoken incessantly and fluently,FALSE,He is a voluble speaker who can talk on any subject.,,,
UNDERSTAND,To perceive the intended meaning of words a language or a speaker,FALSE,I try to understand the problem from all angles before solving it.,,,
OWN,Belonging to oneself,FALSE,I take ownership of my tasks and responsibilities.,,,
IMPLEMENT,To put a decision plan or agreement into effect,FALSE,I can implement a plan effectively.,,,
FRIVOLOUS,Not having any serious purpose or value,FALSE,I do not indulge in frivolous and time-wasting activities.,,,
TAUTOLOGY,The saying of the same thing twice in different words,FALSE,The reason is because is a tautology.,,,
NUANCE,A subtle difference in shade of meaning expression or sound,FALSE,I can understand the nuances of a complex situation.,,,
SOLVENT,Having assets in excess of liabilities; able to pay one's debts,FALSE,I am financially solvent and have no debts.,,,
DYNAMIC,Characterized by constant change activity or progress,FALSE,I am a dynamic person who thrives in a challenging environment.,,,
INDOMITABLE,Impossible to subdue or defeat,FALSE,I have an indomitable spirit.,,,
SENTENTIOUS,Given to moralizing in a pompous manner,FALSE,His speech was full of sententious and preachy remarks.,,,
DEEP,Extending far down from the top or surface,FALSE,I have a deep sense of respect for my country's flag.,,,
SEE,To perceive with the eyes,FALSE,I see an opportunity in every difficulty.,,,
UNHAPPY,Not happy,FALSE,I make myself happy by focusing on the positives.,,,
UNIMPEACHABLE,Not able to be doubted questioned or criticized; entirely trustworthy,FALSE,His integrity is unimpeachable.,,,
CONCLUDE,To bring something to an end,FALSE,I conclude my tasks successfully and on time.,,,
BLOOD,The red liquid that circulates in the arteries and veins,FALSE,Donating blood is a noble act that can help save lives.,,,
TIME,The indefinite continued progress of existence,FALSE,I manage my time efficiently to complete all my assigned tasks.,,,
PUT,To move to or place in a particular position,FALSE,I put the team's interest before my own.,,,
TUMULTUOUS,Making a loud confused noise; uproarious,FALSE,The country is going through a tumultuous phase.,,,
PRESCIENCE,The fact of knowing something before it takes place; foreknowledge,FALSE,A good leader has the prescience to see the future.,,,
IMPARTIAL,Treating all rivals or disputants equally; fair and just,FALSE,A leader must be impartial in his judgement.,,,
WANT,A desire for something,FALSE,I want to live a life of adventure and purpose.,,,
SHOT,The firing of a gun or cannon,FALSE,A single well-aimed shot can change the outcome.,,,
CONSTRUCT,To build or erect something,FALSE,I construct a robust plan with contingencies.,,,
DESPAIR,The complete loss or absence of hope,FALSE,I never despair even in the darkest of moments.,,,
AVOID,To keep away from or stop oneself from doing something,FALSE,I avoid negativity and focus on constructive actions.,,,
FOOD,Any nutritious substance that people or animals eat or drink,FALSE,I eat nutritious food to keep myself physically active.,,,
EMINENT,Famous and respected within a particular sphere or profession,FALSE,I want to become an eminent personality in my field.,,,
UNREMITTING,Never relaxing or slackening; incessant,FALSE,I am making an unremitting effort to achieve my goal.,,,
ENGULF,To sweep over something so as to surround or cover it completely,FALSE,A sudden crisis should not engulf your thinking.,,,
ARGUE,To give reasons or cite evidence in support of an idea or theory,FALSE,I argue my points logically and without getting emotional.,,,
GLOOM,Partial or total darkness; a state of depression,FALSE,I dispel gloom and despair with my positive energy.,,,
REVERE,To feel deep respect or admiration for something,FALSE,I revere my parents and my teachers.,,,
ZEALOT,A person who is fanatical and uncompromising in pursuit of their religious or political ideals,FALSE,He is a religious zealot who is intolerant of other faiths.,,,
TRUCULENT,Eager or quick to argue or fight; aggressively defiant,FALSE,A truculent and aggressive person is not liked by anyone.,,,
POTENTIAL,Having or showing the capacity to become or develop into something in the future,FALSE,I am working hard to realize my full potential.,,,
OBNOXIOUS,Extremely unpleasant,FALSE,I am never obnoxious in my behavior.,,,
PRESSURE,The use of persuasion or intimidation to make someone do something,FALSE,I perform at my best under high-pressure situations.,,,
DISARM,To take a weapon or weapons from a person or group,FALSE,We disarm the enemy and capture them.,,,
UNINITIATED,Without special knowledge or experience,FALSE,The jargons of the army are difficult for the uninitiated.,,,
COMMITMENT,The state or quality of being dedicated to a cause or activity,FALSE,My commitment to my goal is unshakable.,,,
NUGATORY,Of no value or importance; useless,FALSE,My efforts will not be nugatory; they will bear fruit.,,,
RUSTIC,Relating to the countryside; rural,FALSE,I enjoy the simple and rustic life of a village.,,,
NOBLE,Belonging to a hereditary class with high social or political status,FALSE,Serving one's country is a noble profession.,,,
WONT,One's customary behavior in a particular situation,FALSE,He is wont to get up early in the morning.,,,
MERCENARY,Primarily concerned with making money at the expense of ethics,FALSE,I am not a mercenary; I am a patriot.,,,
QUIETUDE,A state of stillness calmness and quiet in a person or place,FALSE,I enjoy the quietude of the early morning hours.,,,
MANDATORY,Required by law or rules; compulsory,FALSE,Physical fitness is mandatory for a soldier.,,,
PROUD,Feeling deep pleasure or satisfaction from one's own achievements,FALSE,I am proud to be an Indian and want to serve my nation.,,,
GALVANNIZE,To shock or excite someone into taking action,FALSE,A leader can galvanize his team to achieve the impossible.,,,
FLUCTUATE,To rise and fall irregularly in number or amount,FALSE,I do not let my mood fluctuate with the situation.,,,
TACITURN,Reserved or uncommunicative in speech; saying little,FALSE,I am not a taciturn person; I am quite communicative.,,,
SOLACE,Comfort or consolation in a time of distress,FALSE,I find solace in music.,,,
ACCEPT,To consent to receive or undertake something,FALSE,I accept challenges and see them as opportunities.,,,
FIERCE,Having or displaying an intense or ferocious aggressiveness,FALSE,I can be fierce in competition but fair in my conduct.,,,
INFUSE,To fill; pervade,FALSE,I can infuse energy and motivation into a team.,,,
VERNAL,Relating to or appropriate to spring,FALSE,The vernal equinox marks the beginning of spring.,,,
INAUGURATE,To begin or introduce a system policy or period,FALSE,I want to inaugurate a new era of peace and prosperity.,,,
SCANTY,Small or insufficient in quantity or amount,FALSE,We had scanty information about the enemy's location.,,,
PERDITION,A state of eternal punishment and damnation into which a sinful person passes after death,FALSE,A life of crime leads to perdition.,,,
DEFINE,To state or describe exactly the nature or scope of something,FALSE,I define my objectives clearly before starting any work.,,,
PROTECT,To keep safe from harm or injury,FALSE,I will protect the honor and sovereignty of my country.,,,
SORRY,Feeling regret or penitence for a wrongdoing,FALSE,I accept my mistakes and say sorry when I am at fault.,,,
SOMATIC,Relating to the body as distinct from the mind,FALSE,A psychological problem can have somatic manifestations.,,,
ENLIGHTEN,To give someone greater knowledge and understanding about a subject,FALSE,Books and travel enlighten my mind.,,,
HESITATE,To pause before saying or doing something; especially through uncertainty,FALSE,I do not hesitate to take tough decisions for the team.,,,
RELINQUISH,To voluntarily cease to keep or claim; give up,FALSE,I will never relinquish my principles.,,,
TRANSCRIBE,To put thoughts speech or data into written or printed form,FALSE,I transcribed the speech of the prime minister.,,,
ENSUE,To happen or occur afterward or as a result,FALSE,Success will ensue if you work hard with dedication.,,,
ADVANCE,To move forward in a purposeful way,FALSE,I always look for ways to advance my skills and knowledge.,,,
BOREDOM,The state of feeling bored or uninterested,FALSE,I overcome boredom by engaging in constructive hobbies.,,,
SEQUESTER,To isolate or hide away,FALSE,He decided to sequester himself from the hustle and bustle of the city.,,,
INDUCE,To succeed in persuading or influencing someone to do something,FALSE,I can induce a sense of purpose in my team.,,,
DENOTE,To be a sign of; indicate,FALSE,A uniform denotes a sense of pride and belonging.,,,
PIOUS,Devoutly religious,FALSE,My mother is a very pious lady.,,,
INIQUITY,Immoral or grossly unfair behavior,FALSE,I will fight against iniquity and injustice.,,,
UNIT,An individual thing or person regarded as single and complete,FALSE,My unit is my family and I am proud of it.,,,
EXCESSIVE,More than is necessary normal or desirable,FALSE,Excessive pride can lead to a downfall.,,,
RANK,A position in the hierarchy of the armed forces,FALSE,Rank comes with responsibility which I am ready to shoulder.,,,
PUNGENT,Having a sharply strong taste or smell,FALSE,The pungent smell of the spices filled the kitchen.,,,
PATENT,Easily recognizable; obvious,FALSE,His lie was patent to everyone.,,,
WREAK,To cause a large amount of damage or harm,FALSE,The cyclone wreaked havoc on the coastal areas.,,,
PROPONENT,A person who advocates a theory proposal or project,FALSE,I am a proponent of free speech and democracy.,,,
NEXT,Coming immediately after the present one,FALSE,I am always prepared for the next challenge.,,,
NEW,Produced existing or introduced for the first time,FALSE,I am always open to learning new things.,,,
PREEN,To devote effort to making oneself look attractive,FALSE,I do not preen myself on my achievements.,,,
LUDICROUS,So foolish unreasonable or out of place as to be amusing; ridiculous,FALSE,It is ludicrous to think that you can succeed without hard work.,,,
SPIRIT,The nonphysical part of a person; the soul,FALSE,The spirit of camaraderie in the forces is unparalleled.,,,
MEETING,An assembly of people for a particular purpose,FALSE,I contribute constructively in group meetings and discussions.,,,
NEOPHYTE,A person who is new to a subject skill or belief,FALSE,As a neophyte I am eager to learn from my seniors.,,,
CORRUPT,Having or showing a willingness to act dishonestly in return for personal gain,FALSE,I will fight against corruption in any form.,,,
PETRIFY,To make someone so frightened that they are unable to move,FALSE,I was petrified to see the snake but I kept my calm.,,,
FLY,To move through the air using wings,FALSE,I want to fly high and touch the sky with glory.,,,
IMPLORE,To beg someone earnestly or desperately to do something,FALSE,I implore my countrymen to work for the unity of the nation.,,,
IRREPRESSIBLE,Not able to be controlled or restrained,FALSE,I have an irrepressible urge to succeed.,,,
SOPHISTRY,The use of fallacious arguments especially with the intention of deceiving,FALSE,I am not convinced by his clever sophistry.,,,
JUGGERNAUT,A huge powerful and overwhelming force or institution,FALSE,The Indian army is a juggernaut that can crush any enemy.,,,
LANGUID,Displaying or having a disinclination for physical exertion; slow and relaxed,FALSE,I do not lead a languid and aimless life.,,,
OPAQUE,Not able to be seen through; not transparent,FALSE,The enemy's intentions were opaque and unclear.,,,
SEDENTARY,Tending to spend much time seated; somewhat inactive,FALSE,I do not lead a sedentary lifestyle.,,,
TORPID,Mentally or physically inactive; lethargic,FALSE,I feel torpid and sleepy after a heavy meal.,,,
EVINCE,To reveal the presence of a quality or feeling,FALSE,I evince a keen interest in learning new things.,,,
MNEMONIC,A system such as a pattern of letters or ideas that aids memory,FALSE,I use mnemonics to remember complex information.,,,
EXTOL,To praise enthusiastically,FALSE,I extol the virtues of honesty and hard work.,,,
FIND,To discover or perceive by chance or unexpectedly,FALSE,I find solutions to problems instead of complaining.,,,
PERTINACIOUS,Holding firmly to an opinion or a course of action,FALSE,I am pertinacious in the pursuit of my goals.,,,
RAMPANT,Flourishing or spreading unchecked,FALSE,Corruption was rampant in the previous regime.,,,
TRANSITORY,Not permanent,FALSE,The pleasures of the world are transitory.,,,
GRATIFY,To give someone pleasure or satisfaction,FALSE,It is gratifying to see your hard work bear fruit.,,,
ORDER,An authoritative command or instruction,FALSE,I follow the orders of my seniors without any question.,,,
SUCCULENT,Tender juicy and tasty,FALSE,I enjoyed the succulent and juicy mangoes.,,,
LUSCIOUS,Having a pleasingly rich sweet taste,FALSE,I enjoy the luscious fruits of my hard work.,,,
RECRIMINATION,An accusation in response to one from someone else,FALSE,I do not indulge in recrimination and blame games.,,,
MEDDLE,To interfere in or busy oneself unduly with something that is not one's concern,FALSE,I do not meddle in others' affairs.,,,
CHARACTER,The mental and moral qualities distinctive to an individual,FALSE,A strong character is the most important trait of an officer.,,,
READ,To look at and comprehend the meaning of written matter,FALSE,I read regularly to enhance my knowledge and awareness.,,,
CONSENSUS,A general agreement,FALSE,I strive for a consensus in my team's decisions.,,,
DISTURB,To interfere with the normal arrangement or functioning of something,FALSE,I do not let external disturbances affect my focus.,,,
ENCHANT,To fill someone with great delight; charm,FALSE,The scenic beauty of the Himalayas enchants me.,,,
ENVISION,To imagine as a future possibility; visualize,FALSE,I can envision a bright future for my country.,,,
SYNTHESIS,The combination of ideas to form a theory or system,FALSE,My philosophy of life is a synthesis of science and spirituality.,,,
JEOPARDY,Danger of loss harm or failure,FALSE,I will not put my team in jeopardy due to my negligence.,,,
TURPITUDE,Depravity; wickedness,FALSE,He was dismissed from service for moral turpitude.,,,
BREAK,To interrupt a continuous state or course,FALSE,I take short strategic breaks to maintain my mental freshness.,,,
INTERRUPT,To stop the continuous progress of an activity or process,FALSE,I do not interrupt when someone else is speaking.,,,
FIRE,Combustion or burning in which substances combine chemically with oxygen,FALSE,I am trained to use fire and maneuver tactics effectively.,,,
