word,best_response,shown,meaning,,,,
GRAVE,A soldier's grave is a place of pilgrimage for patriots,FALSE,A place of burial for a dead body,,,,
BLACK,Black color reminds me of the commandos and their valor,FALSE,Of the very darkest color owing to the absence of or complete absorption of light,,,,
HEADACHE,A difficult problem is a headache that I enjoy solving,FALSE,A continuous pain in the head,,,,
PERCEIVE,I perceive a change in his attitude towards me,FALSE,To become aware or conscious of something,,,,
DISDAIN,I treat everyone with respect and have disdain for none,FALSE,The feeling that someone or something is unworthy of one's consideration or respect,,,,
STYGIAN,The stygian darkness of the cave was frightening,FALSE,Very dark,,,,
TIDY,I keep my workspace and living area tidy and organized,FALSE,Arranged neatly and in order,,,,
PRANK,The students played a prank on their teacher,FALSE,A practical joke or mischievous act,,,,
BAIL,I take responsibility for my actions and do not need a bail,FALSE,The temporary release of an accused person awaiting trial,,,,
STEADY,A steady hand and a calm mind are essential for a marksman,FALSE,Firmly fixed supported or balanced; not shaking or moving,,,,
GROUND,I am a down-to-earth person and stay grounded in reality,FALSE,The solid surface of the earth,,,,
GROTESQUE,The grotesque statues were part of their ancient culture,FALSE,Comically or repulsively ugly or distorted,,,,
RETRENCH,The company had to retrench its staff due to losses,FALSE,To reduce costs or spending in response to economic difficulty,,,,
POTPOURRI,The concert was a potpourri of different musical genres,FALSE,A mixture of dried petals and spices,,,,
INDISTINCT,The figure in the fog was indistinct,FALSE,Not clear or sharply defined,,,,
OFFENCE,He was charged with a serious offence,FALSE,A breach of a law or rule; an illegal act,,,,
FRACTURE,A fracture in team unity can be mended with communication,FALSE,The cracking or breaking of a hard object or material,,,,
INTERMITTENT,Intermittent firing from the enemy did not deter us,FALSE,Occurring at irregular intervals,,,,
SNOUT,The pig had a long snout,FALSE,The projecting nose and mouth of an animal,,,,
MISLEAD,I will never mislead my team or my superiors,FALSE,To cause someone to have a wrong idea or impression about someone or something,,,,
ILLEGITIMATE,I do not believe in using illegitimate means to succeed,FALSE,Not authorized by the law; not in accordance with accepted standards,,,,
SWILL,The pigs were swilling the food,FALSE,To drink something greedily or in large quantities,,,,
HEAVEN,Serving my motherland is like heaven to me,FALSE,A place regarded in various religions as the abode of God or the gods and the angels,,,,
INVADE,I will defend my country against any attempt to invade it,FALSE,To enter a country or region with an armed force in order to occupy it,,,,
SLOPPY,His work was sloppy and had to be redone,FALSE,Careless and unsystematic,,,,
MELODRAMA,I avoid melodrama and am a practical person,FALSE,A sensational dramatic piece with exaggerated characters,,,,
TARRY,He tarried for a while before leaving,FALSE,To stay longer than intended,,,,
SERAPHIC,The baby had a seraphic smile on its face,FALSE,Characteristic of or resembling a seraphim or seraph,,,,
WICKED,I believe in goodness and will always fight the wicked,FALSE,Evil or morally wrong,,,,
SOLUTION,I focus on finding solutions rather than dwelling on problems,FALSE,A means of solving a problem or dealing with a difficult situation,,,,
RENOVATE,The old house was renovated and sold for a good price,FALSE,To restore something old,to a good state of repair,,,
RIFT,There was a rift between the two friends,FALSE,A crack,or break in something,,,
FOOL,A wise person learns from a fool's mistakes,FALSE,A person who acts unwisely or imprudently,,,,
DOMINATE,I lead by cooperation not by dominating others,FALSE,To have a commanding influence on; exercise control over,,,,
IMMODERATE,I am moderate in my habits and not immoderate,FALSE,Not sensible or restrained; excessive,,,,
SCOWL,He scowled at me when I asked him for money,FALSE,An angry or bad-tempered expression,,,,
PENITENT,The penitent sinner confessed his crimes to the priest,FALSE,Feeling or showing sorrow and regret for having done wrong,,,,
PLATITUDE,His speech was full of platitudes and lacked substance,FALSE,A remark or statement,,,,
MESSY,I like to keep my room clean and not messy,FALSE,Untidy or dirty,,,,
GIBBERISH,I speak clearly and to the point not in gibberish,FALSE,Unintelligible or meaningless speech or writing,,,,
INJECT,I inject enthusiasm and motivation into my team,FALSE,To introduce a new or different element into something,,,,
READY,I am always ready to face any challenge that comes my way,FALSE,In a suitable state for an action or situation; fully prepared,,,,
INCRIMINATE,The evidence was not enough to incriminate him,FALSE,To make someone appear guilty of a crime or wrongdoing,,,,
STAMMER,He started to stammer when he was nervous,FALSE,To speak with sudden involuntary pauses and a tendency to repeat the initial letters of words,,,,
RAFFISH,He had a raffish charm that attracted women,FALSE,Unconventional and slightly disreputable,,,,
GUARD,I will guard the borders of my nation with vigilance,FALSE,To watch over in order to protect or control,,,,
CARCASS,I respect all forms of life and the environment,FALSE,The dead body of an animal,,,,
EMPTY,An empty mind is a devil's workshop; I keep mine occupied,FALSE,Containing nothing; not filled or occupied,,,,
RIVAL,He defeated his rival in the final match,FALSE,A person or thing competing with another for the same objective,,,,
VANISH,My fears vanish when I focus on my duty and my team,FALSE,To disappear suddenly and completely,,,,
INFLUENCE,A leader's positive influence can boost the team's morale,FALSE,The capacity to have an effect on the character development or behavior of someone or something,,,,
DISHEVELED,I always maintain a smart and tidy appearance,FALSE,Untidy; disordered,,,,
FALSE,I never provide false information or mislead my team,FALSE,Not according with truth or fact; incorrect,,,,
EMBEZZLE,I am an honest person and would never embezzle funds,FALSE,To steal or misappropriate money placed in one's trust,,,,
DEMOLISH,I can demolish the enemy's morale with a surprise attack,FALSE,To pull or knock down a building,,,,
INFLATE,I present facts as they are and do not inflate my achievements,FALSE,To increase something by a large or excessive amount,,,,
VARY,I can vary my approach based on the situation's demands,FALSE,To differ in size amount degree or nature from something else of the same general class,,,,
EXECRATE,I execrate all forms of terrorism and violence,FALSE,To feel or express great loathing for,,,,
STOCKY,He was a stocky man with broad shoulders,FALSE,Broad and sturdily built,,,,
CONFUSE,Clear instructions prevent team members from getting confused,FALSE,To make someone bewildered or perplexed,,,,
SAP,The long illness had sapped his energy,FALSE,To gradually weaken or destroy a person's strength or power,,,,
SWEET,The sweet taste of victory comes after hard work,FALSE,Having the pleasant taste characteristic of sugar or honey,,,,
DISCOUNT,I do not discount the importance of any team member,FALSE,To regard a possibility or fact as being unworthy of consideration,,,,
SLIM,She had a slim and elegant figure,FALSE,Gracefully thin; slender,,,,
ONLOOKER,The onlookers were shocked to see the accident,FALSE,A non-participating observer,,,,
RESULT,Hard work and dedication always produce good results,FALSE,A consequence effect or outcome of something,,,,
DARK,I am not afraid of the dark and can operate at night,FALSE,With little or no light,,,,
TEAR-JERKER,The movie was a tear-jerker and made everyone cry,FALSE,A sentimental story,or song,,,
STILTED,His stilted conversation made me feel uncomfortable,FALSE,Stiff and self-conscious or unnatural,,,,
FATHER,My father taught me the value of discipline and hard work,FALSE,A man in relation to his natural child or children,,,,
HAGLLE,I do not haggle over prices; I pay what is fair,FALSE,To dispute or bargain persistently especially over the cost of something,,,,
HOPELESS,No situation is hopeless with a positive attitude and effort,FALSE,Feeling or causing despair about something,,,,
STERN,A leader needs to be stern at times for the sake of discipline,FALSE,Serious and unrelenting especially in the assertion of authority and exercise of discipline,,,,
FICKLE,I am firm in my commitments and not fickle-minded,FALSE,Changing frequently especially as regards one's loyalties interests or affection,,,,
SMITE,He was smitten by her beauty,FALSE,To strike with a firm blow,,,,
SCRAP,He sold the old car for scrap,FALSE,Discarded metal for reprocessing,,,,
AGGRAVATE,I solve problems instead of aggravating them,FALSE,To make a problem injury or offense worse or more serious,,,,
SNIP,He snipped the thread with a pair of scissors,FALSE,To cut something with scissors or shears,,,,
PEREMPTORY,He issued a peremptory command to his soldiers,FALSE,Insisting on immediate attention or obedience,,,,
PENDING,The decision on his application is still pending,FALSE,Awaiting decision or settlement,,,,
SIEVE,He used a sieve to separate the flour from the bran,FALSE,A utensil consisting of a wire or plastic mesh,,,,
METALLIC,The knife had a sharp,FALSE,metallic glint,,,,
UNPREPARED,I always prepare well and am never unprepared for a task,FALSE,Not ready or able to deal with something,,,,
PREMONITION,He had a premonition that something bad was going to happen,FALSE,A strong feeling that something is about to happen,,,,
FISHY,I can sense when something is fishy and investigate it,FALSE,Arousing feelings of doubt or suspicion,,,,
PRICK,A small prick of a needle can save a life,FALSE,A tiny puncture made by a sharp point,,,,
SERENDIPITY,It was a serendipity that I found the lost key,FALSE,The occurrence and development of events by chance,,,,
DISTORT,I present facts as they are and do not distort them,FALSE,To pull or twist out of shape,,,,
MORASS,The country was stuck in a morass of economic problems,FALSE,A complicated or confused situation,,,,
PLAGIARIZE,He was accused of plagiarizing his research paper,FALSE,To take the work or an idea of someone else and pass it off as one's own,,,,
SPOTTY,His performance in the tournament was spotty,FALSE,Of uneven quality; patchy,,,,
EXHAUST,My determination keeps me going even when I am exhausted,FALSE,To make someone feel very tired,,,,
STOLID,He had a stolid expression on his face,FALSE,Calm,and showing little emotion or animation,,,
DEAD,A soldier's spirit is never dead and inspires generations,FALSE,No longer alive,,,,
ENTHUSIASM,My enthusiasm keeps the morale of my team high,FALSE,Intense and eager enjoyment interest or approval,,,,
TAUT,The rope was pulled taut,FALSE,Stretched or pulled tight,,,,
SUNDRY,He had sundry items in his bag,FALSE,Of various kinds; several,,,,
STRUCTURE,A clear organizational structure is essential for efficiency,FALSE,The arrangement of and relations between the parts or elements of something complex,,,,
SERVITUDE,He was condemned to a life of servitude,FALSE,The state of being a slave or completely subject to someone more powerful,,,,
SHARE,I share my knowledge and experience with my teammates,FALSE,To have a portion of something with another or others,,,,
EXECUTE,I can execute a given plan with precision and speed,FALSE,To carry out or put into effect a plan order or course of action,,,,
DEVIL,I can fight the devil of my own fears,FALSE,The supreme spirit of evil; Satan,,,,
REMEMBER,I remember the lessons learned from my past experiences,FALSE,To have in or be able to bring to one's mind an awareness of someone or something from the past,,,,
SHACK,He lived in a small shack made of wood,FALSE,A roughly built hut or cabin,,,,
DISLODGE,I can dislodge the enemy from a well-entrenched position,FALSE,To knock or force out of position,,,,
LONESOME,I enjoy my own company and never feel lonesome,FALSE,Solitary or lonely,,,,
RUPTURE,There was a rupture in the pipeline,FALSE,An instance of breaking or bursting suddenly and completely,,,,
SOLACE,He found solace in music after his wife's death,FALSE,Comfort or consolation in a time of distress or sadness,,,,
DRIFT,I have a clear goal and do not drift aimlessly in life,FALSE,To be carried slowly by a current of air or water,,,,
SHUNT,The train was shunted to another track,FALSE,To push or pull a train or car from the main line to a siding,,,,
PROTEAN,He was a protean actor who could play any role,FALSE,Tending or able to change frequently or easily,,,,
PREOCCUPIED,He was preoccupied with his own thoughts,FALSE,Engrossed in thought; distracted,,,,
SAVE,A soldier's primary duty is to save lives,FALSE,To keep safe or rescue someone or something from harm or danger,,,,
PACIFY,He tried to pacify the crying child with a toy,FALSE,To quell the anger,or excitement of,,,
RECEDE,The flood waters started to recede,FALSE,To go or move back or further away from a previous position,,,,
WAVE,We can face any wave of challenges with unity,FALSE,A long body of water curling into an arch and breaking on the shore,,,,
MANAGE,I can manage my time and resources effectively to meet deadlines,FALSE,To be in charge of a company organization or department,,,,
MARGINAL,The increase in salary was marginal,FALSE,Relating to or situated at the edge or margin,,,,
PRECIPITATE,The crisis was precipitated by the resignation of the minister,FALSE,To cause an event or situation,,,,
ROUGH,I can handle rough situations and tough terrains,FALSE,Having an uneven or irregular surface; not smooth or level,,,,
SHRIEK,She shrieked in terror when she saw the ghost,FALSE,To utter a high-pitched piercing sound or words,,,,
HUDDLE,The team huddled together to discuss the strategy,FALSE,To crowd together; nestle closely,,,,
WOBBLE,My confidence does not wobble in difficult situations,FALSE,To move unsteadily from side to side,,,,
NOTICE,I am quick to notice changes in my environment,FALSE,The fact of observing or paying attention to someone or something,,,,
SOAR,The eagle soared high in the sky,FALSE,To fly or rise high in theair,,,,
OBSTACLE,I see obstacles as opportunities to test my skills,FALSE,A thing that blocks one's way or prevents or hinders progress,,,,
EXPEND,I expend my energy on productive and useful tasks,FALSE,To spend or use up a resource,,,,
STUN,He was stunned by the news of his friend's death,FALSE,To knock unconscious or into a dazed or semiconscious state,,,,
ERUPT,I control my emotions and do not let them erupt,FALSE,To break out or burst forth suddenly and dramatically,,,,
LACKADAISICAL,I am energetic and not lackadaisical in my approach,FALSE,Lacking enthusiasm and determination; carelessly lazy,,,,
FRUSTRATE,I don't get frustrated by obstacles; I find ways around them,FALSE,To prevent a plan or attempted action from progressing succeeding or being fulfilled,,,,
CONCERN,I am concerned about the welfare of my team members,FALSE,To relate to; be about,,,,
SEETHE,He was seething with anger,FALSE,To be filled with intense but unexpressed anger,,,,
CARNAGE,I will work to prevent carnage and protect human life,FALSE,The killing of a large number of people,,,,
DISPARAGE,I do not disparage the efforts of my teammates,FALSE,To regard or represent as being of little worth,,,,
PATRONIZE,I do not like to be patronized by anyone,FALSE,To treat with an apparent kindness that betrays a feeling of superiority,,,,
COMPLICATION,Clear planning helps avoid unnecessary complications,FALSE,A circumstance that complicates something; a difficulty,,,,
ROBUST,He was a robust man with a strong physique,FALSE,Strong and healthy; vigorous,,,,
SPIRAL,The staircase had a spiral shape,FALSE,Winding in a continuous and gradually widening,,,,
PREEN,She preened herself in front of the mirror,FALSE,To devote effort to making oneself look attractive,,,,
SWELTER,He was sweltering in the hot sun,FALSE,To be uncomfortably hot,,,,
TRIM,I maintain a trim and smart appearance at all times,FALSE,To make something neat or of the required size or form by cutting away irregular or unwanted parts,,,,
JUNCTURE,At this critical juncture,FALSE,we need to be united,,,,
GENOCIDE,I will always stand against any act of genocide,FALSE,The deliberate killing of a large number of people from a particular nation or ethnic group,,,,
KNOWLEDGE,Knowledge combined with action leads to success,FALSE,Facts information and skills acquired through experience or education,,,,
BROKEN,My spirit can never be broken by any adversity,FALSE,Having been fractured or damaged and no longer in one piece or in working order,,,,
SUN,The sun is a source of energy and positivity,FALSE,The star around which the earth orbits,,,,
VIVID,I have a vivid imagination that helps in creative problem-solving,FALSE,Producing powerful feelings or strong clear images in the mind,,,,
BUST,A successful raid can bust a major enemy network,FALSE,To break split or burst,,,,
BROKE,I manage my finances well and am never broke,FALSE,Having completely run out of money,,,,
INTEGRITY,Integrity is the most important quality for an officer,FALSE,The quality of being honest and having strong moral principles,,,,
PROPITIOUS,It was a propitious time to start a new venture,FALSE,Giving or indicating a good chance of success,,,,
FAT,I maintain a healthy weight through exercise and diet,FALSE,A natural oily or greasy substance occurring in animal bodies,,,,
PREDISPOSE,His family history predisposed him to heart disease,FALSE,To make someone liable or inclined to a specified attitude,or condition,,,
KNELL,The fall of the fort sounded the death knell for the enemy,FALSE,The sound of a bell,,,,
HURT,I do not get hurt by criticism and take it constructively,FALSE,To cause physical pain or injury to,,,,
FORAY,Our troops made a successful foray into enemy territory,FALSE,A sudden attack or incursion into enemy territory,,,,
EXPRESS,I can express my ideas clearly and confidently to a group,FALSE,To convey a thought or feeling in words or by gestures and conduct,,,,
INVERSE,My success is in direct proportion,FALSE,not inverse,Opposite or contrary in position,direction,order,or effect
SNAP,The twig snapped under his foot,FALSE,To break or cause to break suddenly and completely,,,,
FREEZE,My mind does not freeze under pressure; it works faster,FALSE,To become or be rendered solid by exposure to cold,,,,
CLEAR,A clear plan ensures there are no ambiguities in execution,FALSE,Easy to perceive understand or interpret,,,,
IMPEDE,I will not let any obstacle impede my progress,FALSE,To delay or prevent someone or something by obstructing them,,,,
PARADIGM,The new discovery led to a paradigm shift in science,FALSE,A typical example or pattern of something,,,,
RADICAL,He had radical views on politics and society,FALSE,Relating to or affecting the fundamental nature of something,,,,
JAB,A quick jab of motivation can boost the team's spirit,FALSE,A quick,especially with the fist,,,
SPATE,There was a spate of robberies in the city,FALSE,A large number of similar things or events,,,,
LAMENT,I do not lament my losses; I learn from them,FALSE,A passionate expression of grief or sorrow,,,,
INTER,The soldier was interred with full military honors,FALSE,To place a corpse in a grave or tomb,,,,
BREAK,A short break re-energizes the mind for the next task,FALSE,A pause in work or during an activity or event,,,,
PICKLE,He was in a pickle and did not know what to do,FALSE,A difficult or messy situation,,,,
IMMORAL,I have high moral standards and am not immoral,FALSE,Not conforming to accepted standards of morality,,,,
APPROVE,My leader approved my plan for the project,FALSE,To officially agree to or accept as satisfactory,,,,
RECUMBENT,He was lying in a recumbent position on the sofa,FALSE,Lying down,,,,
BOUNCE,I can bounce back from any failure with renewed vigor,FALSE,To move quickly up back or away from a surface after striking it,,,,
PRODIGY,The child prodigy could play the piano at the age of five,FALSE,A young person with exceptional qualities or abilities,,,,
IMMOBILE,An injury made him immobile for a few weeks,FALSE,Not moving; motionless,,,,
SOAK,He soaked his tired feet in warm water,FALSE,To make or allow something to become thoroughly wet,,,,
ROAM,He liked to roam in the woods,FALSE,To move about or travel aimlessly or unsystematically,,,,
PRETEXT,He came to my house on the pretext of borrowing a book,FALSE,A reason given in justification of a course of action,,,,
ARMY,I am determined to join the Indian Army and serve,FALSE,An organized military force that fights on land,,,,
SCORE,I aim for a high score in all my training assessments,FALSE,The number of points goals or runs achieved in a game or competition,,,,
RELY,My team can rely on me to complete my part of the task,FALSE,To depend on with full trust or confidence,,,,
FLIRT,I am a professional and do not flirt at my workplace,FALSE,To behave as though attracted to or trying to attract someone but for amusement rather than with serious intentions,,,,
TERRIFY,Challenges do not terrify me; they excite me,FALSE,To cause to feel extreme fear,,,,
WHOLE,The whole team contributed to the final victory,FALSE,All of; entire,,,,
FIGHT,I will fight for the honor and integrity of my country,FALSE,To take part in a violent struggle involving the exchange of physical blows or the use of weapons,,,,
HOG,I am a team player and do not hog the credit,FALSE,A domesticated pig,,,,
MALAISE,A general feeling of malaise was prevalent in the city,FALSE,A general feeling of discomfort,or uneasiness,,,
PRISTINE,The pristine beauty of the valley was breathtaking,FALSE,In its original condition; unspoiled,,,,
BONDAGE,I seek freedom of thought and action not bondage,FALSE,The state of being a slave,,,,
PROPAGANDA,The government used propaganda to win public support,FALSE,Information,,,,
ARREST,I will never do anything that could lead to my arrest,FALSE,To seize someone by legal authority and take them into custody,,,,
PERSONIFY,He personified all the virtues of a good leader,FALSE,To represent a quality or concept by a figure in human form,,,,
EFFEMINATE,A soldier must be tough and not effeminate,FALSE,Having or showing characteristics regarded as typical of a woman,,,,
SLEAZY,He lived in a sleazy part of the town,FALSE,Sordid,or immoral,,,
OVERPOWER,The police were overpowered by the mob,FALSE,To defeat or overcome with superior strength,,,,
GULP,I gulp down my fears and act with courage,FALSE,To swallow drink or food quickly or in large mouthfuls,,,,
SLUMBER,He was in a deep slumber and did not hear the noise,FALSE,A sleep,,,,
RESUSCITATE,The doctor tried to resuscitate the patient,FALSE,To revive someone from unconsciousness or apparent death,,,,
GROSS,The sight of blood does not gross me out,FALSE,Unattractively large or bloated,,,,
MISQUOTE,The newspaper misquoted the minister in its report,FALSE,To quote someone's words inaccurately,,,,
REQUEST,I make polite requests and not issue commands to juniors,FALSE,An act of asking politely or formally for something,,,,
VIEW,I have a positive view of life and its challenges,FALSE,A particular way of considering or regarding something; an attitude or opinion,,,,
MINUTE,I pay attention to even the minute details of a plan,FALSE,Extremely small,,,,
PARADOX,It is a paradox that a rich man can be unhappy,FALSE,A seemingly absurd or self-contradictory statement,,,,
ENSLAVE,I believe in freedom and will fight against any attempt to enslave,FALSE,To cause someone to become a slave,,,,
HOODLUM,I will protect my community from hoodlums and criminals,FALSE,A person who engages in crime and violence,,,,
PRESAGE,The dream was a presage of his impending death,FALSE,A sign or warning that something,will happen,,,
CRAMP,A physical cramp can be overcome with a strong mind,FALSE,A painful involuntary contraction of a muscle or muscles,,,,
NOTHING,Nothing is impossible for a person with a strong will,FALSE,Not anything; no single thing,,,,
SUCK,I can suck out the poison of negativity with my positive attitude,FALSE,To draw into the mouth by contracting the muscles of the lip and mouth to make a partial vacuum,,,,
SPURT,There was a spurt of growth in the company's sales,FALSE,A sudden gushing stream,,,,
FITNESS,Physical fitness is crucial for a soldier's performance,FALSE,The condition of being physically fit and healthy,,,,
SCOFF,He scoffed at my idea as being impractical,FALSE,To speak to someone or about something in a scornfully derisive or mocking way,,,,
SCALD,He scalded his hand with the hot water,FALSE,To injure with very hot liquid or steam,,,,
MISCONDUCT,He was dismissed from his job for gross misconduct,FALSE,Unacceptable or improper behavior,,,,
NOISE,I can concentrate on my task even in a noisy environment,FALSE,A sound especially one that is loud or unpleasant or that causes disturbance,,,,
SLEEK,The sleek car was a symbol of his wealth,FALSE,Smooth and glossy,,,,
SUCCINCT,He gave a succinct account of the incident,FALSE,Briefly and clearly expressed,,,,
PHLEGM,He had a lot of phlegm due to his cold,FALSE,The thick viscous substance secreted by the mucous membranes,,,,
APTITUDE,I have a strong aptitude for learning new military skills,FALSE,A natural ability to do something,,,,
PANDER,The media should not pander to the baser instincts of the public,FALSE,To gratify or indulge an immoral or distasteful desire,,,,
SPARKLE,The diamonds sparkled in the light,FALSE,To shine brightly with flashes of light,,,,
INHALE,I inhale positivity and exhale negativity,FALSE,To breathe in air,or smoke,,,
AFFIRM,I affirm my commitment to my duty and my nation,FALSE,To state as a fact; assert strongly and publicly,,,,
MISLAY,I have mislaid my keys and cannot find them,FALSE,To unintentionally put an object where it cannot be found,,,,
CRACK,I can find a crack in the enemy's defense,FALSE,A line on the surface of something along which it has split without breaking into separate parts,,,,
PRECOCIOUS,The precocious child could read and write at the age of three,FALSE,Having developed certain abilities or proclivities at an earlier age than usual,,,,
OUTBURST,He had a sudden outburst of anger,FALSE,A sudden release of strong emotion,,,,
SPORE,The fungus reproduces through spores,FALSE,A minute,reproductive unit,,,
DISCONNECT,I remain connected with my team and never feel a disconnect,FALSE,To break the connection of or between,,,,
HEED,I always heed the advice of my experienced seniors,FALSE,To pay attention to; take notice of,,,,
TEETER,He teetered on the edge of the cliff,FALSE,To move or balance unsteadily.,,,,
RIFE,The city was rife with rumors of a coup,FALSE,Of common occurrence; widespread,,,,
SOLICIT,He was soliciting for donations for the charity,FALSE,To ask for or try to obtain something from someone,,,,
SHOUT,I communicate calmly and do not need to shout,FALSE,To speak with a very loud voice,,,,
MAGIC,Teamwork can create magic and achieve impossible feats,FALSE,The power of apparently influencing the course of events by using mysterious or supernatural forces,,,,
SMELL,I can smell danger from a distance and take precautions,FALSE,The faculty or power of perceiving odors or scents by means of the organs in the nose,,,,
DRY,My sense of humor is not dry; it is lively,FALSE,Free from moisture or liquid; not wet or moist,,,,
INSTIGATE,I do not instigate quarrels; I resolve them,FALSE,To bring about or initiate an action or event,,,,
OVERCOME,I can overcome any obstacle with determination and teamwork,FALSE,To succeed in dealing with a problem or difficulty,,,,
OVERTURN,The boat overturned in the storm,FALSE,To tip over so as to be upside down,,,,
ZERO,I can start from zero and still reach the top,FALSE,No quantity or number; naught,,,,
FLOP,My first attempt was a flop but I succeeded in the next one,FALSE,A complete failure,,,,
REFUSE,I refuse to give up on my goals no matter how hard it gets,FALSE,To indicate or show that one is not willing to do something,,,,
AWARD,An award is a recognition of dedicated team effort,FALSE,A prize or other mark of recognition given in honor of an achievement,,,,
GATHER,I gather all relevant information before making a plan,FALSE,To come together; assemble or accumulate,,,,
UNJUST,I will fight against any unjust act or system,FALSE,Not based on or behaving according to what is morally right and fair,,,,
THINK,I think critically and creatively to find the best solutions,FALSE,To have a particular opinion belief or idea about someone or something,,,,
SIGN,My positive attitude is a sign of my mental strength,FALSE,An object quality or event whose presence or occurrence indicates the probable presence or occurrence of something else,,,,
SERE,The sere leaves of autumn fell from the trees,FALSE,Dry and withered,,,,
SNAKE,I am not afraid of snakes or any other dangers in the wild,FALSE,A long limbless reptile that has no eyelids a short tail and jaws that are capable of considerable extension,,,,
REMINISCE,The old friends reminisced about their school days,FALSE,To indulge in enjoyable recollection of past events,,,,
BEST,I always strive to give my best in every task assigned,FALSE,Of the most excellent or desirable type or quality,,,,
HALLOW,We must hallow the memory of our brave soldiers,FALSE,To honor as holy,,,,
DOWNTRODDEN,I will always work for the upliftment of the downtrodden,FALSE,Oppressed or treated badly by people in power,,,,
REGALE,He regaled us with stories of his travels,FALSE,To entertain or amuse someone with talk,,,,
DISCOURAGE,I am self-motivated and do not get discouraged by setbacks,FALSE,To cause someone to lose confidence or enthusiasm,,,,
ALARM,An alert mind is the best alarm against danger,FALSE,An anxious awareness of danger,,,,
RECOGNIZE,I can recognize opportunities and make the most of them,FALSE,To identify someone or something from having encountered them before; know again,,,,
SHAPE,My experiences in life have shaped my character positively,FALSE,To give a particular form or shape to,,,,
SYNTHESIS,The new theory was a synthesis of several old ideas,FALSE,The combination of ideas to form a theory or system,,,,
MAROON,He was marooned on a deserted island,FALSE,To leave someone trapped and isolated in an inaccessible place,,,,
SPLINTER,He got a splinter in his finger,FALSE,A small,sharp piece of wood,glass,or similar material broken off from a larger piece,
SHAME,I will never do anything that brings shame to my country,FALSE,A painful feeling of humiliation or distress caused by the consciousness of wrong or foolish behavior,,,,
GOUGE,I will not let anyone gouge my eyes out,FALSE,To make a groove hole or indentation with or as if with a gouge,,,,
OMEN,A black cat crossing your path is considered a bad omen,FALSE,An event regarded as a portent of good or evil,,,,
PROP,He used a stick as a prop to walk,FALSE,A pole or beam used as a temporary support,,,,
COMBAT,I am trained and ready for combat to defend my nation,FALSE,Fighting between armed forces,,,,
PRAGMATIC,He had a pragmatic approach to solving problems,FALSE,Dealing with things sensibly and realistically,,,,
LACONIC,His laconic reply was full of meaning,FALSE,Using very few words,,,,
INCONSEQUENTIAL,I focus on the important tasks and not on inconsequential details,FALSE,Not important or significant,,,,
WHINE,I do not whine about problems; I find solutions,FALSE,To give or make a long high-pitched complaining cry or sound,,,,
VIBRANT,A vibrant team culture promotes creativity and enthusiasm,FALSE,Full of energy and enthusiasm,,,,
HABIT,I have a habit of planning my day in the morning,FALSE,A settled or regular tendency or practice especially one that is hard to give up,,,,
DISABLE,I will not let any disability disable my spirit,FALSE,To put out of action,,,,
BRAIN,I use my brain to find innovative solutions to problems,FALSE,The organ inside the head that controls thought memory and feeling,,,,
PARASITE,He was a parasite who lived off his rich relatives,FALSE,An organism that lives in or on another organism,,,,
JURISDICTION,I respect the jurisdiction of the local authorities,FALSE,The official power to make legal decisions and judgments,,,,
PRESENCE,A leader's presence should be calming and reassuring,FALSE,The state or fact of existing occurring or being present in a place or thing,,,,
REPUTE,He was a man of great repute and honor,FALSE,The opinion generally held of someone or something,,,,
PARTNER,My partner and I work together to achieve our common goal,FALSE,Either of a pair of people engaged together in the same activity,,,,
GOURMAND,I enjoy good food but I am not a gourmand,FALSE,A person who enjoys eating and often eats too much,,,,
INDECENCY,I will not tolerate any act of indecency,FALSE,Indecent behavior,,,,
RECESSION,The country was going through an economic recession,FALSE,A period of temporary economic decline,,,,
PRETENTIOUS,He was a pretentious man who always showed off his wealth,FALSE,Attempting to impress by affecting greater importance,,,,
EPIDEMIC,The medical corps works hard to prevent any epidemic,FALSE,A widespread occurrence of an infectious disease in a community at a particular time,,,,
INFIGHTING,I promote unity and prevent any infighting in my team,FALSE,Conflict or rivalry between members of the same group or organization,,,,
MISSING,The missing child was found safe and sound,FALSE,Not able to be found because it is not in its expected place,,,,
LOSE,I play to win but I am not afraid to lose and learn,FALSE,To be deprived of or cease to have or retain something,,,,
FURIOUS,I control my temper and do not get furious easily,FALSE,Extremely angry,,,,
PILLAGE,The invading army pillaged the city,FALSE,To rob a place using violence,,,,
SELF,Self-discipline is the foundation of a strong character,FALSE,A person's essential being that distinguishes them from others,,,,
SKETCHY,The details of the plan were still sketchy,FALSE,Not thorough or detailed,,,,
GARISH,I prefer simple and sober things not garish ones,FALSE,Obtrusively bright and showy; lurid,,,,
SOLIDARITY,The workers showed solidarity with their striking colleagues,FALSE,Unity or agreement of feeling or action,,,,
DISREPUTE,I will never bring my family's name into disrepute,FALSE,The state of being held in low esteem by the public,,,,
PRIVATION,He suffered many privations during the war,FALSE,A state in which things that are essential for human well-being are scarce,,,,
DISTRACT,I stay focused on my goal and do not get distracted easily,FALSE,To prevent someone from giving full attention to something,,,,
STAY,I stay focused on my goal despite distractions,FALSE,To remain in the same place,,,,
SUBPOENA,He was served a subpoena to appear in court,FALSE,A writ ordering a person to attend a court,,,,
SHED,He shed his old clothes and wore new ones,FALSE,To allow leaves,or skin to fall off naturally,,,
